"",BBFB1.Q.Y.DE.W1.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS,BBFB1.Q.Y.DE.W1.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS,BBFB1.Q.Y.DE.W1.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS,BBFB1.Q.Y.DE.W1.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS,BBFB1.Q.Y.DE.W1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance / Rest of the World / Calendar and seasonally adjusted,,Current account / Goods / Balance / Rest of the World / Calendar and seasonally adjusted,,Current Account / Services / Balance / Rest of World / Calendar and seasonally adjusted,,Current account / Primary income / Balance / Rest of the World / Calendar and seasonally adjusted,,Current account / Secondary income / Balance / Rest of the World / Calendar and seasonally adjusted,
unit,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,
unit multiplier,billion,,billion,,billion,,billion,,billion,
last update,2022-06-14 10:00:25,,2022-06-14 10:00:36,,2022-06-14 10:00:25,,2022-06-14 10:00:25,,2022-06-14 10:00:25,
1991-01,-13.87,,12.09,,-13.34,,9.17,,-21.79,
1991-04,-15.60,,2.59,,-12.39,,6.50,,-12.30,
1991-07,-9.38,,7.49,,-12.31,,7.94,,-12.50,
1991-10,-5.19,,14.45,,-13.50,,6.26,,-12.40,
1992-01,-10.44,,12.12,,-16.34,,7.56,,-13.78,
1992-04,-12.62,,8.97,,-15.67,,7.04,,-12.96,
1992-07,-6.03,,15.57,,-16.47,,7.73,,-12.86,
1992-10,-10.96,,11.00,,-16.59,,6.54,,-11.91,
1993-01,-6.84,,17.22,,-16.94,,5.00,,-12.12,
1993-04,-11.30,,15.78,,-17.75,,5.44,,-14.77,
1993-07,-11.45,,16.07,,-17.37,,4.24,,-14.39,
1993-10,-8.13,,20.64,,-17.99,,4.64,,-15.42,
1994-01,-13.76,,19.47,,-18.94,,0.21,,-14.50,
1994-04,-11.49,,24.05,,-20.47,,0.64,,-15.71,
