"",BBDA1.M.DE.Y.IM.S.GP09IS12.W1.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.GP09IS12.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.IM.S.GP09IS02.W1.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.GP09IS02.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.IM.S.GP09IS03.W1.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.GP09IS03.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.IM.S.GP09IS04.W1.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.GP09IS04.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.IM.S.GP09IS07.W1.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.GP09IS07.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.IM.S.GP09IS12.W1.A.C.A15.A,BBDA1.M.DE.Y.IM.S.GP09IS12.W1.A.C.A15.A_FLAGS,BBDA1.M.DE.Y.IM.S.GP09IS07.W1.A.C.A15.A,BBDA1.M.DE.Y.IM.S.GP09IS07.W1.A.C.A15.A_FLAGS,BBDA1.M.DE.Y.IM.S.GP09IS09.W1.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.GP09IS09.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.IM.S.GP09IS11.W1.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.GP09IS11.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.IM.S.GP09I028.W1.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.GP09I028.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.IM.S.GP09IS10.W1.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.GP09IS10.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.IM.S.GP09I029.W1.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.GP09I029.W1.A.V.ABA.A_FLAGS
"","German foreign trade: imports / At current prices, flows / Aggregate excluding energy (MIG) / Rest of the World / Calendar and seasonally adjusted",,"German foreign trade: imports / At current prices, flows / Intermediate products / Rest of the World / Calendar and seasonally adjusted",,"German foreign trade: imports / At current prices, flows / Capital goods / Rest of the World / Calendar and seasonally adjusted",,"German foreign trade: imports / At current prices, flows / Consumer goods / Rest of the World / Calendar and seasonally adjusted",,"German foreign trade: imports / At current prices, flows / Energy / Rest of the World / Calendar and seasonally adjusted",,German foreign trade: imports / At constant prices / Aggregate excluding energy (MIG) / Rest of the World / Calendar and seasonally adjusted,,German foreign trade: imports / At constant prices / Energy / Rest of the World / Calendar and seasonally adjusted,,"German foreign trade: imports / At current prices, flows / Chemicals and chemical/pharmaceutical products (new: items 20+21) / Rest of the World / Calendar and seasonally adjusted",,"German foreign trade: imports / At current prices, flows / Metals and metal products (new: items 24+25) / Rest of the World / Calendar and seasonally adjusted",,"German foreign trade: imports / At current prices, flows / 28 Machinery and equipment / Rest of the World / Calendar and seasonally adjusted",,"German foreign trade: imports / At current prices, flows / Computer, electronic and optical products plus electrical equipment (new: items 26+27) / Rest of the World / Calendar and seasonally adjusted",,"German foreign trade: imports / At current prices, flows / 29 Motor vehicles, trailers and semi-trailers / Rest of the World / Calendar and seasonally adjusted",
unit,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,
unit multiplier,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,
last update,2022-03-17 11:01:30,,2022-03-17 11:01:23,,2022-03-17 11:01:24,,2022-03-17 11:01:25,,2022-03-17 11:01:26,,2022-03-17 11:01:29,,2022-03-17 11:01:26,,2022-03-17 11:01:27,,2022-03-17 11:01:28,,2022-03-17 11:01:21,,2022-03-17 11:01:28,,2022-03-17 11:01:22,
2008-01,57.12,,20.88,,20.19,,12.96,,8.98,,60.09,,7.00,,7.91,,6.52,,5.74,,10.54,,6.87,
2008-02,57.37,,20.99,,19.62,,13.33,,9.02,,59.63,,6.91,,8.24,,6.51,,5.86,,10.25,,6.80,
2008-03,57.86,,21.02,,19.25,,13.31,,8.60,,60.43,,6.53,,7.97,,6.81,,5.75,,10.17,,6.68,
2008-04,57.07,,20.64,,18.94,,13.39,,9.38,,58.85,,6.93,,7.97,,6.44,,5.74,,9.91,,6.45,
2008-05,57.97,,21.05,,18.78,,13.19,,8.85,,59.31,,5.95,,7.81,,7.24,,5.72,,9.71,,6.63,
2008-06,57.17,,20.58,,17.93,,13.01,,9.28,,57.45,,5.85,,8.24,,7.17,,5.62,,9.16,,6.33,
2008-07,58.27,,20.94,,18.91,,13.37,,11.27,,59.71,,6.98,,8.35,,6.99,,5.72,,10.18,,6.28,
2008-08,58.87,,21.04,,19.20,,12.98,,10.22,,59.60,,6.63,,8.38,,7.06,,5.80,,9.91,,6.52,
2008-09,58.65,,20.70,,18.47,,13.36,,10.47,,59.79,,6.93,,8.54,,6.72,,5.68,,9.98,,6.30,
2008-10,57.28,,20.33,,18.09,,13.74,,10.23,,59.09,,7.87,,8.26,,6.60,,5.52,,10.07,,5.60,
2008-11,56.79,,19.07,,18.25,,13.86,,9.26,,59.04,,7.94,,7.83,,6.26,,6.01,,10.09,,5.53,
