2015=100
Exp or Imp,Year,Indexes Area,Commodity,,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Summary Indexes,,,,,,,,,,,,,,,,,
1,2013,WORLD,"Total",Value Index,92.27,76.15,83.84,99.51,91.66,91.49,96.15,94.56,91.76,94.76,96.85,93.61,96.95
1,2013,WORLD,"Total",Unit Index,91.83,87.8,90.58,90.86,90.32,92.24,93.21,90.76,92.36,92.77,93.05,92.67,95.04
1,2013,WORLD,"Total",Quantum Index,100.47,86.73,92.56,109.51,101.48,99.18,103.15,104.18,99.34,102.13,104.08,101.01,102
1,2013,WORLD,"*Raw Materials",Value Index,106.09,90.91,107.85,129.45,119.96,113.62,107.79,101.16,97.52,96.71,103.63,98.09,106.38
1,2013,WORLD,"*Raw Materials",Unit Index,100.52,90.95,95.59,99.08,101.27,101.8,102.26,100.22,100.5,101.09,101.86,104.46,107.88
1,2013,WORLD,"*Raw Materials",Quantum Index,105.54,99.95,112.82,130.64,118.45,111.61,105.4,100.93,97.03,95.66,101.73,93.9,98.61
1,2013,WORLD,"*Manufs",Value Index,92.59,76.95,85.02,100.84,91.99,90.69,96.31,94.96,91.84,94.52,96.49,94.01,97.49
1,2013,WORLD,"*Manufs",Unit Index,90.98,87.21,89.88,90.16,89.55,91.35,92.36,90.01,91.38,91.7,92.05,91.71,94.05
1,2013,WORLD,"*Manufs",Quantum Index,101.77,88.23,94.59,111.83,102.72,99.27,104.27,105.49,100.49,103.07,104.82,102.5,103.66
1,2013,WORLD,"Food-stuff",Value Index,72.77,55.67,56.75,71.87,70.76,73.2,69.81,70.87,77.06,72.1,79.01,80.76,95.41
1,2013,WORLD,"Food-stuff",Unit Index,89.65,90.41,86.44,73.88,70.93,82.93,87.36,90.83,95.07,96.69,101.11,104.54,105.83
1,2013,WORLD,"Food-stuff",Quantum Index,81.17,61.58,65.65,97.27,99.76,88.27,79.9,78.02,81.05,74.56,78.14,77.25,90.14
1,2013,WORLD," Fish & Shellfish",Value Index,83.95,53.35,59.03,86.02,90.45,86.97,78.2,79.49,95.06,79.5,90.95,93.15,115.28
1,2013,WORLD," Fish & Shellfish",Unit Index,91.1,94.86,85.19,62.58,59.51,79.23,86.62,95.35,105,109.82,117.55,123.67,122.38
1,2013,WORLD," Fish & Shellfish",Quantum Index,92.15,56.24,69.28,137.46,152,109.76,90.28,83.36,90.52,72.38,77.36,75.32,94.19
1,2013,WORLD,"Textiles",Value Index,88.2,65.1,74.71,93.6,90.24,91.5,94.39,91.49,88.68,83.64,94.09,93.39,97.57
1,2013,WORLD,"Textiles",Unit Index,91.09,86.83,88.06,90.08,90.49,92.56,94.58,91.48,90.89,90.24,91.7,92.03,93.29
1,2013,WORLD,"Textiles",Quantum Index,96.82,74.97,84.84,103.91,99.72,98.84,99.79,100.01,97.56,92.69,102.61,101.47,104.58
1,2013,WORLD," Textile Materials",Value Index,85.01,69.17,71.96,93.11,86.82,85.25,85.92,84.01,85.14,84.98,92.61,84.57,96.53
1,2013,WORLD," Textile Materials",Unit Index,88.06,78.47,83.54,85.81,87.64,89.84,90.94,89.45,89.84,89.31,90.51,89.54,91.24
1,2013,WORLD," Textile Materials",Quantum Index,96.52,88.14,86.13,108.49,99.06,94.89,94.47,93.91,94.76,95.15,102.32,94.45,105.8
1,2013,WORLD," Textile Yarn & Fabrics",Value Index,89.83,63.3,74.43,95.09,93.56,95.66,99.13,93.95,89.04,81.94,95.38,97.16,99.36
