"",BBK01.DQ7503,BBK01.DQ7503_FLAGS,BBK01.DQ7516,BBK01.DQ7516_FLAGS
"","Pay rates, overall economy, on an hourly basis, Germany",,"Pay rates, production sector (incl. construction), on an hourly basis, Germany",
unit,2015=100,,2015=100,
unit multiplier,one,,one,
last update,2022-03-10 09:11:42,,2022-03-10 09:11:43,
1991-01,46.5,,39.9,
1991-04,49.0,,42.5,
1991-07,55.3,,48.9,
1991-10,61.2,,51.2,
1992-01,51.7,,43.5,
1992-04,54.6,,47.7,
1992-07,61.6,,55.6,
1992-10,68.0,,58.7,
1993-01,56.4,,48.9,
1993-04,58.0,,51.2,
1993-07,65.9,,60.3,
1993-10,72.7,,63.8,
1994-01,59.0,,52.5,
1994-04,59.5,,53.0,
1994-07,67.1,,61.9,
1994-10,74.1,,65.2,
1995-01,61.3,,55.4,
1995-04,62.7,,56.4,
1995-07,70.3,,65.4,
1995-10,77.9,,70.2,
1996-01,63.6,,58.1,
1996-04,64.2,,58.6,
1996-07,72.1,,68.5,
1996-10,79.2,,72.0,
1997-01,64.6,,59.5,
1997-04,64.6,,59.4,
1997-07,72.6,,69.2,
1997-10,79.6,,71.9,
1998-01,65.5,,59.6,
1998-04,66.2,,61.2,
1998-07,74.3,,71.3,
1998-10,81.2,,74.0,
1999-01,67.3,,62.2,
1999-04,68.0,,62.9,
1999-07,76.2,,73.1,
1999-10,83.0,,75.5,
2000-01,68.6,,63.3,
2000-04,69.5,,64.2,
2000-07,77.7,,74.8,
2000-10,84.7,,77.3,
2001-01,70.1,,64.5,
2001-04,70.7,,65.4,
2001-07,79.2,,76.5,
2001-10,86.3,,79.1,
2002-01,71.7,,66.0,
2002-04,72.6,,67.6,
2002-07,81.3,,79.2,
2002-10,88.6,,81.5,
2003-01,73.6,,67.8,
2003-04,74.2,,69.4,
2003-07,82.9,,81.3,
2003-10,89.5,,83.7,
2004-01,74.8,,70.3,
2004-04,75.2,,70.6,
2004-07,83.3,,82.3,
2004-10,89.8,,85.5,
2005-01,75.7,,71.6,
2005-04,76.0,,71.9,
2005-07,84.1,,84.0,
2005-10,90.5,,87.3,
2006-01,76.5,,73.3,
2006-04,77.1,,73.4,
2006-07,84.0,,84.2,
2006-10,91.4,,87.9,
2007-01,76.8,,72.6,
2007-04,78.5,,75.7,
2007-07,85.5,,86.8,
2007-10,92.5,,89.7,
2008-01,78.7,,74.9,
2008-04,79.9,,76.3,
2008-07,88.0,,89.2,
2008-10,95.7,,94.3,
2009-01,80.9,,77.1,
2009-04,81.8,,78.7,
2009-07,89.6,,92.1,
2009-10,96.8,,94.9,
2010-01,82.5,,79.2,
2010-04,83.6,,81.2,
2010-07,90.4,,92.0,
2010-10,98.2,,96.3,
2011-01,83.8,,79.8,
2011-04,84.7,,81.7,
2011-07,92.2,,94.5,
2011-10,99.9,,98.1,
2012-01,85.4,,81.9,
2012-04,86.9,,84.4,
2012-07,94.8,,97.6,
2012-10,102.9,,101.6,
2013-01,87.8,,84.8,
2013-04,88.7,,86.4,
2013-07,97.3,,100.7,
2013-10,105.4,,104.5,
2014-01,90.5,,87.4,
2014-04,91.6,,89.5,
2014-07,100.0,,103.3,
2014-10,108.7,,107.4,
2015-01,92.6,,90.3,
2015-04,93.8,,92.6,
2015-07,102.4,,106.3,
2015-10,111.2,,110.8,
2016-01,94.4,,92.3,
2016-04,95.7,,93.8,
2016-07,104.7,,109.3,
2016-10,113.9,,114.0,
2017-01,97.0,,95.1,
2017-04,98.0,,96.6,
2017-07,106.9,,111.3,
2017-10,116.1,,116.5,
2018-01,99.4,,97.8,
2018-04,101.3,,100.6,
2018-07,110.2,,116.0,
2018-10,119.6,,121.8,
2019-01,102.3,,101.2,
2019-04,103.4,,102.7,
2019-07,114.8,,124.2,
2019-10,122.2,,122.5,
2020-01,104.6,,102.2,
2020-04,105.2,,102.7,
2020-07,116.6,,125.1,
2020-10,125.3,,123.9,
2021-01,106.0,,102.8,
2021-04,107.7,,106.1,
2021-07,117.8,,124.4,
2021-10,127.2,,127.0,
